chaikesh@turing:~/a02$ python local_train_increase.py 
WARNING:tensorflow:From local_train_increase.py:89: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-10-30 16:25:27.645054: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-10-30 16:26:12.813886: W tensorflow/core/framework/allocator.cc:113] Allocation of 2565103464 exceeds 10% of system memory.
Epoch 58/100, train_cost = 1.463, test_accuracy = 0.712, time = 28.036,test-time=1.946
Epoch 59/100, train_cost = 1.522, test_accuracy = 0.698, time = 28.019,test-time=1.977
Epoch 60/100, train_cost = 1.638, test_accuracy = 0.724, time = 28.795,test-time=1.979
Epoch 61/100, train_cost = 1.670, test_accuracy = 0.702, time = 28.226,test-time=1.902
Epoch 62/100, train_cost = 1.678, test_accuracy = 0.707, time = 28.351,test-time=1.963
Epoch 63/100, train_cost = 1.723, test_accuracy = 0.685, time = 28.092,test-time=1.846
Epoch 64/100, train_cost = 1.783, test_accuracy = 0.707, time = 28.167,test-time=2.150
Epoch 65/100, train_cost = 1.838, test_accuracy = 0.690, time = 27.866,test-time=1.875
Epoch 66/100, train_cost = 1.923, test_accuracy = 0.702, time = 28.170,test-time=2.029
Epoch 67/100, train_cost = 1.980, test_accuracy = 0.680, time = 28.632,test-time=2.002
Epoch 68/100, train_cost = 2.103, test_accuracy = 0.697, time = 27.877,test-time=1.881
Epoch 69/100, train_cost = 2.216, test_accuracy = 0.601, time = 28.488,test-time=1.911
Epoch 70/100, train_cost = 2.268, test_accuracy = 0.655, time = 28.246,test-time=2.128
Epoch 71/100, train_cost = 2.354, test_accuracy = 0.670, time = 28.081,test-time=2.010
Epoch 72/100, train_cost = 2.488, test_accuracy = 0.690, time = 28.148,test-time=1.951
Epoch 73/100, train_cost = 2.611, test_accuracy = 0.597, time = 28.457,test-time=1.951
Epoch 74/100, train_cost = 2.675, test_accuracy = 0.689, time = 28.292,test-time=1.977
Epoch 75/100, train_cost = 2.869, test_accuracy = 0.680, time = 28.497,test-time=1.942
Epoch 76/100, train_cost = 2.998, test_accuracy = 0.582, time = 27.240,test-time=1.898
Epoch 77/100, train_cost = 3.018, test_accuracy = 0.652, time = 27.304,test-time=2.081
Epoch 78/100, train_cost = 3.187, test_accuracy = 0.681, time = 27.524,test-time=1.887
Epoch 79/100, train_cost = 3.415, test_accuracy = 0.601, time = 27.584,test-time=2.010
Epoch 80/100, train_cost = 3.640, test_accuracy = 0.595, time = 28.091,test-time=1.917
Epoch 81/100, train_cost = 3.809, test_accuracy = 0.656, time = 27.537,test-time=1.854
Epoch 82/100, train_cost = 3.984, test_accuracy = 0.588, time = 27.509,test-time=1.847
Epoch 83/100, train_cost = 4.159, test_accuracy = 0.670, time = 26.744,test-time=1.853
Epoch 84/100, train_cost = 4.557, test_accuracy = 0.653, time = 28.073,test-time=1.984
Epoch 85/100, train_cost = 4.682, test_accuracy = 0.580, time = 27.879,test-time=1.941
Epoch 86/100, train_cost = 4.915, test_accuracy = 0.663, time = 27.912,test-time=1.948
Epoch 87/100, train_cost = 5.359, test_accuracy = 0.562, time = 27.283,test-time=1.868
Epoch 88/100, train_cost = 5.563, test_accuracy = 0.663, time = 28.064,test-time=1.990
Epoch 89/100, train_cost = 5.889, test_accuracy = 0.650, time = 28.037,test-time=1.887
Epoch 90/100, train_cost = 6.571, test_accuracy = 0.632, time = 27.966,test-time=2.085
Epoch 91/100, train_cost = 6.757, test_accuracy = 0.574, time = 27.779,test-time=1.939
Epoch 92/100, train_cost = 6.956, test_accuracy = 0.565, time = 27.523,test-time=1.938
Epoch 93/100, train_cost = 7.452, test_accuracy = 0.646, time = 27.746,test-time=1.932
Epoch 94/100, train_cost = 7.977, test_accuracy = 0.643, time = 27.764,test-time=1.959
Epoch 95/100, train_cost = 8.815, test_accuracy = 0.646, time = 28.399,test-time=1.910
Epoch 96/100, train_cost = 9.294, test_accuracy = 0.651, time = 27.808,test-time=1.981
Epoch 97/100, train_cost = 9.321, test_accuracy = 0.541, time = 28.013,test-time=1.940
Epoch 98/100, train_cost = 10.063, test_accuracy = 0.557, time = 27.380,test-time=1.878
Epoch 99/100, train_cost = 10.427, test_accuracy = 0.554, time = 27.847,test-time=1.919
Epoch 100/100, train_cost = 10.935, test_accuracy = 0.571, time = 27.148,test-time=1.890

